Маркитантова Н, 424 группа
Домашнее задание 2 -- Отчет
Текст: Ф.Достоевский "Преступление и наказание", несколько глав.
Анализатор: pymorphy2
чиновник 18
мимо 18
урок 18
рассказать 18
решительно 18
дурак 18
грудь 18
обстоятельство 18
медленно 17
спасть 17
крайний 17
сначала 17
дух 17
перебить 17
например 17
дмитрий 17
согласиться 17
город 17
свидание 17
выражение 17
слышный 17
вслед 17
чрезвычайно 17
спешить 17
целовать 17
жена 17
торопиться 17
раздавить 17
мера 17
факт 17
усилие 17
отдать 17
фу 17
уверить 17
аль 17
желать 17
история 17
поразить 17
оно 17
проснуться 17
слушай 17
ключ 17
прислать 17
батюшка 17
оттого 17
состояние 17
тяжело 16
вместо 16
миколка 16
пальто 16
спокойно 16
рад 16
отпереть 16
лошадь 16
извинить 16
статья 16
произнести 16
пожалуйста 16
пока 16
баба 16
маленькая 16
стараться 16
ожидать 16
удивление 16
общий 16
неделя 16
тон 16
впечатление 16
пункт 16
красный 16
целое 16
часто 16
догадаться 16
слеза 16
сходить 16
пришлый 16
счастливый 16
прошлый 16
приподняться 16
страшный 16
род 16
вытащить 16
речь 16
цель 16
петербург 16
третье 16
выпить 16
половина 15
пятнадцать 15
шляпа 15
полтора 15
смысл 15
молодой 15
упасть 15
чаять 15
чистый 15
постель 15
следовать 15
произойти 15
говорят 15
колено 15
распивочный 15
хохотать 15
настежь 15
тело 15
родион 15
ожидание 15
замолчать 15
прокофьй 15
душа 15
ряд 15
какойнибудь 15
приятный 15
уходить 15
бывший 15
сметь 15
мигом 15
насчёт 15
громко 15
заговорить 15
вздрогнуть 15
случиться 15
вставать 15
надеть 15
снять 15
память 15
волнение 15
след 15
правый 15
отчасти 15
важный 14
тротуар 14
кухня 14
работник 14
чутьчуть 14
семь 14
звать 14
очередь 14
несчастный 14
воля 14
обморок 14
заплатить 14
мост 14
изз 14
принимать 14
держать 14
беспокоиться 14
показывать 14
чёрный 14
отрезать 14
смерть 14
среди 14
старый 14
какоеть 14
поминутно 14
кабак 14
любопытство 14
прочесть 14
твёрдо 14
потерять 14
повернуться 14
прощать 14
лёгкий 14
чай 14
побежалый 14
поглядеть 14
слабый 14
поставить 14
бормотать 14
девица 14
рассказывать 14
болезненный 14
жёлтый 14
отчаяние 14
попасть 13
любопытно 13
неожиданный 13
митрей 13
эх 13
кстати 13
гденибыть 13
костюм 13
быстро 13
спрашивать 13
встреча 13
палец 13
митька 13
помоему 13
сени 13
беспокоить 13
помочь 13
убийство 13
народ 13
вход 13
кнут 13
подлец 13
вон 13
прочий 13
явиться 13
хозяин 13
познакомиться 13
низкий 13
товарищ 13
священник 13
пустить 13
гораздо 13
огромный 13
припомнить 13
суп 13
послышаться 13
требовать 13
вообразить 13
услышать 13
серьёзный 13
наплевать 13
свидригайлов 13
старое 13
офицер 13
закон 13
отвращение 13
заходить 13
показать 13
обратно 13
сенной 13
миг 13
сердиться 13
перестать 13
сундук 13
вполне 13
работа 12
никак 12
прекрасный 12
замок 12
бредить 12
резко 12
мещанин 12
здоровый 12
движение 12
поручик 12
интересоваться 12
чистота 12
мучить 12
левый 12
красильщик 12
совесть 12
оказаться 12
крепкий 12
поспешить 12
пятно 12
мучительный 12
земля 12
носка 12
дёргать 12
счастие 12
куданибудь 12
канава 12
лавка 12
нетерпение 12
надеяться 12
подробность 12
далеко 12
серьга 12
жар 12
состоять 12
указать 12
запереть 12
парень 12
плакать 12
закладчик 12
трудно 12
осторожно 12
наслаждение 12
окончательно 12
единственно 12
лоб 12
деловой 12
пропасть 12
мёртвый 12
готовый 12
ворота 12
золотой 12
перо 12
следить 12
подниматься 12
идея 12
решиться 12
беспокойство 12
очевидно 12
велеть 12
нести 11
нумера 11
вопервое 11
сомнение 11
тёмный 11
уверять 11
крепко 11
ударить 11
захотеться 11
указывать 11
петлить 11
перейти 11
внезапный 11
приехать 11
комод 11
обои 11
нищета 11
адрес 11
камень 11
миколай 11
мнение 11
сонечка 11
осматривать 11
полчаса 11
долг 11
приняться 11
достать 11
подозрение 11
зато 11
туда 11
разговаривать 11
раздумье 11
каморка 11
общество 11
кошелёк 11
мелькнуть 11
чрезвычайный 11
приятель 11
прочее 11
старший 11
около 11
сеять 11
послать 11
невозможно 11
скамейка 11
утро 11
чемнибыть 11
порог 11
испуг 11
разряд 11
вотс 11
служить 11
оборотиться 11
брак 11
нагнуться 11
положение 11
улыбнуться 11
целковый 11
похожий 11
подхватить 11
боль 11
встретить 11
ложка 11
коль 11
мальчишка 11
грязный 11
вынуть 11
рост 11
видимо 11
вести 11
гдеть 11
иль 11
молиться 11
уважать 11
холодный 11
ален 11
казаться 11
убежать 11
ишь 11
капитэн 10
согласный 10
ради 10
надежда 10
заглянуть 10
неожиданно 10
воскликнуть 10
злой 10
обстановка 10
этак 10
менее 10
занимать 10
внезапно 10
случаться 10
досада 10
схватиться 10
судить 10
засмеяться 10
пол 10
рассудок 10
братец 10
пьяница 10
глупость 10
постоять 10
робко 10
опомниться 10
мармеладовый 10
этакий 10
университет 10
верхний 10
молчать 10
мужик 10
сорок 10
дышать 10
вслух 10
почувствовать 10
ба 10
доказать 10
переулок 10
рассматривать 10
стыдиться 10
пропустить 10
наблюдать 10
отказаться 10
газета 10
грязь 10
нравиться 10
счёт 10
барышня 10
объяснить 10
амалия 10
хозяйкин 10
злоба 10
признаться 10
худой 10
прохожий 10
злобно 10
бахрома 10
сильно 10
столько 10
отсюда 10
серебряный 10
исступление 10
пиво 10
полицейский 10
достоинство 10
мальчик 10
изредка 10
махнуть 10
жалеть 10
будущий 10
испугаться 10
усмехнуться 10
жара 10
усиленно 10
шея 10
работать 10
мелкий 10
петь 10
расстроить 10
афанасий 10
касаться 10
сконфузиться 10
сестрица 10
против 10
бешенство 10
билет 10
повторять 9
почемуть 9
выход 9
приятно 9
объяснять 9
выразиться 9
звук 9
убитый 9
отправиться 9
собираться 9
раздражать 9
артельщик 9
вытерпеть 9
кивнуть 9
вскочить 9
помолчать 9
свинья 9
отчего 9
грех 9
привычка 9
чеготь 9
широкий 9
существо 9
рожа 9
девять 9
чувствительный 9
обидеться 9
задумчиво 9
убеждение 9
повторить 9
помиловать 9
какаять 9
скрывать 9
совершенный 9
отозваться 9
начаться 9
старухин 9
узел 9
полезный 9
круглый 9
направо 9
больно 9
платок 9
выдержать 9
расспрашивать 9
глубокий 9
безобразный 9
летний 9
любопытный 9
восторг 9
поступить 9
сударь 9
какомтый 9
крошечный 9
незнакомый 9
повернуть 9
возможно 9
спина 9
рассердиться 9
крест 9
панталоны 9
походить 9
намерение 9
строго 9
сад 9
далее 9
пятьдесят 9
раздаться 9
небольшой 9
софья 9
способствовать 9
объявить 9
тоска 9
невеста 9
болтать 9
близкий 9
переводить 9
необыкновенно 9
плотный 9
человечество 9
неподвижный 9
обрадоваться 9
заторопиться 9
коробка 9
полезть 9
заранее 9
площадь 9
давешний 9
задыхаться 9
одиннадцать 9
лечь 9
больница 9
остров 9
советник 9
глупый 9
застать 9
мелочь 9
весело 9
внутренний 9
нахмуриться 9
нева 9
изумление 9
кома 9
каков 9
ступенька 9
удовольствие 9
подать 9
подняться 9
теперешний 9
замечательный 9
крюк 8
некоторые 8
уметь 8
останавливаться 8
скверный 8
бред 8
белый 8
ейбог 8
славный 8
желание 8
нужный 8
сцена 8
заснуть 8
личико 8
тревога 8
озноб 8
тревожный 8
перешагнуть 8
страдать 8
обед 8
встречаться 8
заниматься 8
обращать 8
колокольчик 8
улика 8
путь 8
здешний 8
соврать 8
задумчивость 8
фигура 8
стыдно 8
снимать 8
подавать 8
прочь 8
дун 8
подобный 8
излера 8
двугривенный 8
вынести 8
решительный 8
сечь 8
удивиться 8
дядя 8
единственный 8
служба 8
довести 8
осмотреть 8
этта 8
умирать 8
ручка 8
открыть 8
захотеть 8
простой 8
исполнить 8
разглядеть 8
жилец 8
единый 8
натура 8
верста 8
жених 8
позвонить 8
вексель 8
страшно 8
кончиться 8
обещать 8
дыра 8
жаль 8
осуждать 8
железный 8
мрачный 8
воз 8
смешной 8
смущение 8
укладка 8
отыскивать 8
всякая 8
полиция 8
среда 8
твёрдый 8
тёплый 8
эй 8
сойтись 8
внизу 8
заведение 8
душить 8
способный 8
пожалеть 8
чемтый 8
мечта 8
купить 8
пышный 8
ругаться 8
задуматься 8
добро 8
ктонибыть 8
носить 8
судорога 8
напрасно 8
свежий 8
отыскать 8
рассмеяться 8
николай 8
прислушиваться 8
таков 8
обязать 8
мир 8
малый 8
пожар 8
стакан 8
слава 8
тоть 8
влияние 8
любовь 8
кулак 8
тяжёлый 8
продать 8
честь 8
вскачь 8
худо 8
повестка 8
помогать 8
пустой 8
вырваться 8
фуражка 8
семейство 8
рубашка 8
ранний 8
лавочка 8
объяснение 8
положим 8
убийца 8
привыкнуть 8
когданибудь 8
подходить 8
неизвестно 8
дико 8
немец 8
значительный 8
штука 8
четверть 8
поленька 8
знак 8
ночевать 8
выговорить 8
припоминать 8
устроить 8
водка 7
толстый 7
нисколько 7
оттенок 7
размах 7
мыть 7
сжимать 7
шляпка 7
вымыть 7
хитрость 7
уважение 7
окошко 7
пронестись 7
губерния 7
сумасшедший 7
соображать 7
какоготь 7
франц 7
выносить 7
отношение 7
подворотня 7
лебезятник 7
впоследствии 7
страдание 7
вечером 7
столик 7
рота 7
кобыленка 7
обнять 7
лишний 7
приезд 7
снаружи 7
убедиться 7
духота 7
степень 7
павло 7
брякнуть 7
торжество 7
какиеть 7
заглядывать 7
разъяснить 7
кружиться 7
какуюнибудь 7
бишь 7
сбросить 7
поутру 7
глухой 7
форма 7
яркий 7
последовать 7
свести 7
замечание 7
пустяк 7
обхватить 7
отвернуться 7
тоненький 7
ценить 7
воздух 7
изпод 7
длинный 7
жалование 7
ихний 7
находиться 7
отзыв 7
просьба 7
вонь 7
горячо 7
заметно 7
недавний 7
интересовать 7
рассчитывать 7
радость 7
покраснеть 7
мешать 7
вглядываться 7
душкина 7
поворот 7
плохо 7
нечаянно 7
мебель 7
нервный 7
нестерпимый 7
хлеб 7
шум 7
цепочка 7
вахрушин 7
детский 7
многие 7
довольный 7
попрежний 7
настроение 7
папочка 7
рассказ 7
перенести 7
немецкий 7
квартальный 7
нос 7
процент 7
соображение 7
ступать 7
находить 7
поверить 7
колечко 7
щека 7
повалиться 7
площадка 7
обедать 7
личный 7
природа 7
предположить 7
честный 7
встретиться 7
нумереть 7
платить 7
стукнуть 7
женский 7
щегольский 7
выбежать 7
привстать 7
угрюмый 7
надзиратель 7
слабо 7
снести 7
жес 7
какоюто 7
сквозь 7
момент 7
процесс 7
существовать 7
предмет 7
ошибка 7
ночью 7
назвать 7
образовать 7
выразить 7
обыск 7
спустить 7
расслышать 7
второе 7
сряду 7
прощение 7
порядок 7
лихорадка 7
следующий 7
придавать 7
поцеловать 7
лгать 7
очутиться 7
мука 7
судьба 7
отстать 7
зареветь 7
прыгать 7
пенсион 7
заплакать 7
разорвать 7
набережная 7
солнце 7
настаивать 7
помощник 7
дёрнуть 7
трое 7
какаянибудь 7
сообщить 7
ошибаться 7
помощь 6
подождать 6
спускаться 6
великодушный 6
повидимый 6
особый 6
сделаться 6
невыносимый 6
изнутри 6
отвориться 6
нравственный 6
возбудить 6
отказать 6
допрашивать 6
длиться 6
ведать 6
задать 6
разрешение 6
упор 6
оборванец 6
продолжаться 6
тонкий 6
барин 6
взыскание 6
сзади 6
великолепный 6
недавно 6
полый 6
необходимый 6
печка 6
удивляться 6
справедливо 6
малопомалу 6
взяться 6
тряпьё 6
лезть 6
родные 6
пыль 6
смутиться 6
проскользнуть 6
пациент 6
книжка 6
супруг 6
предложить 6
извозчик 6
холод 6
болеть 6
верный 6
побледнеть 6
хлопотать 6
выпустить 6
насмешка 6
оглядеть 6
задом 6
молния 6
футляр 6
группа 6
встречать 6
забыться 6
оскорбление 6
стучать 6
сообщать 6
богатый 6
компания 6
достаться 6
продавать 6
возможность 6
проговориться 6
нижний 6
липпевехзель 6
краска 6
презрение 6
честной 6
прибить 6
кусок 6
перевести 6
спьяну 6
сход 6
заёмный 6
приподнять 6
гордый 6
пашенек 6
худенький 6
испуганный 6
скольконибудь 6
найтись 6
короткий 6
эк 6
откланяться 6
отойти 6
старушонка 6
потупиться 6
пот 6
сострадание 6
учить 6
падать 6
сознавать 6
обратить 6
узнавать 6
глазок 6
кучер 6
запереться 6
периодический 6
бумажка 6
обмануть 6
обернуться 6
недоверчивость 6
кудато 6
расчёт 6
произвести 6
прихожая 6
жирный 6
приказать 6
окончательный 6
дрянь 6
откровенный 6
свободный 6
впереди 6
принадлежать 6
дальнейший 6
пуститься 6
разыскать 6
гром 6
беда 6
перчатка 6
налить 6
голодный 6
придавить 6
помешанный 6
решение 6
надоесть 6
стен 6
записать 6
божий 6
осторожный 6
класс 6
скорбь 6
качать 6
дворец 6
городов 6
вдова 6
хитро 6
успокоиться 6
чужое 6
притворить 6
наверх 6
сразу 6
жениться 6
пропить 6
осмелиться 6
забота 6
бросать 6
раздаваться 6
людвиг 6
ярко 6
дыхание 6
опустить 6
передать 6
впрямь 6
прошлое 6
дорогой 6
лошадка 6
тема 6
преступник 6
потребовать 6
нужно 6
покамест 6
хорошенький 6
переехать 6
заключить 6
собственно 6
стоя 6
подбородок 6
сухо 6
поворотить 6
дас 6
предчувствовать 6
тихий 6
сема 6
забор 6
поведение 6
манер 6
средство 6
слабость 6
спорить 6
наступить 6
рассудить 6
делаться 6
прервать 6
бульвар 6
представляться 6
перевернуть 6
прасковья 6
веровать 6
нечто 6
чахоточный 6
светлый 6
кладбище 6
доходить 6
глупо 6
пожелать 6
тузить 6
бедность 6
слыхать 6
переменить 6
папироска 6
жилет 6
1 6
недостойный 6
сунуть 6
одеяло 6
грустный 6
бросаться 5
скрестить 5
коляска 5
горячиться 5
надобный 5
небо 5
крючок 5
вздрагивать 5
неслышно 5
душный 5
переждать 5
отставной 5
упорно 5
повод 5
драть 5
напрячь 5
оглядеться 5
мельком 5
вино 5
намедни 5
угодный 5
некуда 5
причём 5
невольный 5
разум 5
даром 5
портной 5
догонять 5
происходить 5
вод 5
порох 5
охватить 5
потащить 5
выбрать 5
достигнуть 5
преувеличить 5
хватать 5
пользоваться 5
глубоко 5
дурной 5
дразнить 5
сочинитель 5
убедить 5
протесниться 5
ложиться 5
небось 5
подлый 5
ведьма 5
бессилие 5
край 5
человеческий 5
раздражить 5
высокомерный 5
взад 5
шагом 5
заложить 5
мостовый 5
скорее 5
оставлять 5
интерес 5
машинально 5
вверх 5
петербургский 5
кашлять 5
обеспокоить 5
деревянный 5
нехорошо 5
разыскивать 5
отчаянный 5
опыт 5
ломать 5
бела 5
устать 5
разделять 5
шёпотом 5
малое 5
выглядывать 5
сознаться 5
поколение 5
препятствие 5
посетитель 5
предстоять 5
простоволосый 5
пошевелиться 5
запрыгать 5
поправить 5
вздумать 5
вроде 5
папаша 5
запирать 5
предполагать 5
приседать 5
поздно 5
душевный 5
вспоминать 5
выждать 5
зуб 5
предупреждать 5
дрогнуть 5
мокрый 5
спустя 5
гулять 5
принудить 5
тащить 5
мерка 5
аршин 5
